;neurons number;learning rate;epoch;mean acc.(train);mean acc.(test)
0;1;0.0001;1000;50.32521358791867;50.26945827172204
1;1;0.0001;2000;50.828979334691404;50.701237987707785
2;1;0.0001;5000;51.630309857241514;51.4460920002722
3;1;0.005;1000;55.94764477123922;54.93727540159972
4;1;0.005;2000;57.03895920480396;55.49539084232258
5;1;0.005;5000;59.22983855306543;56.849737670298964
6;1;0.05;1000;66.64005683189491;61.66677392764227
7;1;0.05;2000;67.10753332816164;62.01106484557887
8;1;0.05;5000;67.40644938875566;62.22657856057108
9;1;0.5;1000;67.73565235687897;63.16730257062329
10;1;0.5;2000;68.07354178251131;63.441422708417235
11;1;0.5;5000;68.47781380388918;63.81496418559991
12;3;0.0001;1000;52.06982421435322;51.62755839557153
13;3;0.0001;2000;53.17619501244341;52.76950814441496
14;3;0.0001;5000;53.89874094520648;53.516133195257204
15;3;0.005;1000;68.36426840152316;66.30146584590062
16;3;0.005;2000;71.91578748602944;69.49650181364505
17;3;0.005;5000;74.54748866309878;72.2184166579387
18;3;0.05;1000;86.96199943714245;86.06751029554906
19;3;0.05;2000;90.57711256910368;89.95398372059915
20;3;0.05;5000;92.52330458389416;91.8479512131142
21;3;0.5;1000;96.34074618541767;95.8020617818937
22;3;0.5;2000;96.74394330877638;96.02345076531175
23;3;0.5;5000;97.17383463916765;96.17796556995928
24;5;0.0001;1000;53.336013144800425;53.26228102315456
25;5;0.0001;2000;54.1588750343739;53.86564812424861
26;5;0.0001;5000;54.70242634373123;54.34860594802792
27;5;0.005;1000;71.74215058431962;69.30033059917692
28;5;0.005;2000;74.12120711731167;71.55028369267163
29;5;0.005;5000;76.36426954513362;74.00733301405124
30;5;0.05;1000;89.88219955039007;89.32228063595035
31;5;0.05;2000;92.21434148085007;91.74838563546245
32;5;0.05;5000;93.69160233181074;93.10557706887467
33;5;0.5;1000;96.38946678181179;95.85819324762168
34;5;0.5;2000;96.85415239534696;96.0472024258545
35;5;0.5;5000;97.2528447037845;96.22837356871445
36;7;0.0001;1000;53.23104158595193;53.57150810601969
37;7;0.0001;2000;54.23295342400185;54.18588490644621
