;neurons number1;neurons number2;learning rate;epoch;mean acc.(train);mean acc.(test)
0;1;1;0.0001;1000;50.339956064701056;50.985560247165964
1;1;1;0.0001;1000;50.639156113325804;51.30717923678246
2;1;1;0.0001;1000;50.6223538784237;51.06627699578035
3;1;1;0.0001;1000;50.58464101445673;50.789093877879026
4;1;1;0.0001;1000;50.53401776657199;50.76984198363398
5;1;1;0.0001;1000;50.47657888856659;50.66191905329043
6;1;1;0.0001;1000;50.467676977776044;50.619178266196904
7;1;1;0.0001;1000;50.51724312200065;50.713781187899194
8;1;1;0.0001;1000;50.6327905654725;50.869178341716896
9;1;1;0.0001;1000;50.840409554416695;51.027314939128686
10;1;1;0.0001;2000;50.87888656546977;51.103692059466105
11;1;1;0.0001;2000;50.78225414004618;50.949263001415595
12;1;1;0.0001;2000;50.81880865138922;50.91675930375712
13;1;1;0.0001;2000;50.89028484761468;50.993448696046684
14;1;1;0.0001;2000;50.84881185057052;50.90526817868002
15;1;1;0.0001;2000;50.91759346332819;50.98195068770357
16;1;1;0.0001;2000;50.880022449024814;50.93529751500232
17;1;1;0.0001;2000;50.94182049932349;50.989316736108755
18;1;1;0.0001;2000;51.07165818284336;51.10653912127344
19;1;1;0.0001;2000;51.076676666870654;51.09674172269684
20;1;1;0.0001;5000;51.208797353930116;51.226557725453674
21;1;1;0.0001;5000;51.31908558446596;51.33394417003176
22;1;1;0.0001;5000;51.3644098795869;51.36416297146146
23;1;1;0.0001;5000;51.45212511757049;51.4514207552051
24;1;1;0.0001;5000;51.55218138260138;51.53845157750044
25;1;1;0.0001;5000;51.6178281720339;51.589514592488186
26;1;1;0.0001;5000;51.69491824547373;51.64706757788211
27;1;1;0.0001;5000;51.76768328686669;51.71368384345691
28;1;1;0.0001;5000;51.76427185432089;51.70676916182656
29;1;1;0.0001;5000;51.84488112506756;51.769519999188475
30;1;1;0.005;1000;55.690193665040425;55.27811666126221
31;1;1;0.005;1000;55.69123955657389;55.27878450408474
32;1;1;0.005;1000;55.6797817118117;55.26971675908334
33;1;1;0.005;1000;55.69656063665425;55.2606774359937
34;1;1;0.005;1000;55.692197488407416;55.26692488862741
35;1;1;0.005;1000;55.690961405908006;55.268019152835166
36;1;1;0.005;1000;55.690179989659605;55.27098097533972
37;1;1;0.005;1000;55.68989860532102;55.272593865293985
38;1;1;0.005;1000;55.69415155985858;55.27448465234407
39;1;1;0.005;1000;55.696794326643236;55.27447554037657
40;1;1;0.005;2000;55.69353955161089;55.26744928086921
41;1;1;0.005;2000;55.69236588224777;55.268659744813
42;1;1;0.005;2000;55.69086408329618;55.269287567555416
43;1;1;0.005;2000;55.69032671660456;55.27062784194538
44;1;1;0.005;2000;55.69035780961337;55.27142880999078
45;1;1;0.005;2000;55.68879973817802;55.271052277990286
46;1;1;0.005;2000;55.693370695755796;55.26610299299894
47;1;1;0.005;2000;55.69491606481589;55.26679331591541
48;1;1;0.005;2000;55.69727722251459;55.26574262755244
49;1;1;0.005;2000;55.70021773150199;55.26202093050491
50;1;1;0.005;5000;55.70131672622532;55.2618269680431
51;1;1;0.005;5000;55.70555214985684;55.255739056310134
52;1;1;0.005;5000;55.70516862061661;55.25679225913779
53;1;1;0.005;5000;55.71062322699163;55.24991058725132
54;1;1;0.005;5000;55.70872862493843;55.24849119700698
55;1;1;0.005;5000;55.70906056221892;55.249271909192615
56;1;1;0.005;5000;55.71398634276319;55.24360716974402
57;1;1;0.005;5000;55.7214831247348;55.2341127568851
58;1;1;0.005;5000;55.72218196078165;55.234687816801426
59;1;1;0.005;5000;55.72353961595111;55.23375756937275
60;1;1;0.05;1000;56.24041856745383;54.81028512789803
61;1;1;0.05;1000;55.97386715786391;55.045073037819535
62;1;1;0.05;1000;55.901122587777785;55.09674679545399
63;1;1;0.05;1000;55.87601503184296;55.10781100228689
64;1;1;0.05;1000;55.847205968990885;55.13723970217275
65;1;1;0.05;1000;55.82299988092364;55.161224376205006
66;1;1;0.05;1000;55.801061161648555;55.17243204874133
67;1;1;0.05;1000;55.80511232186272;55.16263607881456
68;1;1;0.05;1000;55.810800264465584;55.15046732565694
69;1;1;0.05;1000;55.7950685202879;55.14435496359107
70;1;1;0.05;2000;55.87402515928645;55.111511520497885
71;1;1;0.05;2000;56.7775396429112;55.665626170673896
72;1;1;0.05;2000;56.69857521876443;55.63140163240511
73;1;1;0.05;2000;56.68658735613638;55.57050208887466
74;1;1;0.05;2000;56.69739296722791;55.52074560704476
75;1;1;0.05;2000;56.649642727687265;55.48616906171877
76;1;1;0.05;2000;56.66691270687837;55.44847923015068
77;1;1;0.05;2000;56.65782165174002;55.41133424890467
78;1;1;0.05;2000;56.626456244718035;55.38359378369154
79;1;1;0.05;2000;57.13836176106626;55.7076660161405
80;1;1;0.05;5000;57.64532654609609;56.03120110465656
81;1;1;0.05;5000;57.634634798364566;55.98399464355894
82;1;1;0.05;5000;57.62194555731915;55.93983880805636
83;1;1;0.05;5000;58.04836537889454;56.21544662218147
84;1;1;0.05;5000;58.02266052887324;56.16641361020761
85;1;1;0.05;5000;57.999755600457924;56.1214317294147
86;1;1;0.05;5000;57.97867091113446;56.07991820946452
87;1;1;0.05;5000;58.329027552035186;56.309681762703796
88;1;1;0.05;5000;58.29692998587479;56.26404793220592
89;1;1;0.05;5000;58.26824366517213;56.22198030561404
90;1;1;0.5;1000;57.4845881864494;55.01916287665536
91;1;1;0.5;1000;62.76341582322288;58.85025293818434
92;1;1;0.5;1000;64.52378066624186;60.12826356677794
93;1;1;0.5;1000;62.76198148009287;58.85039541097643
94;1;1;0.5;1000;61.70605972718458;58.083941718074776
95;1;1;0.5;1000;61.00199361275401;57.572782952982216
96;1;1;0.5;1000;62.00997005747996;58.304998188451655
97;1;1;0.5;1000;61.443926546983334;57.8941832677348
98;1;1;0.5;1000;62.17813797404627;58.42728706007569
99;1;1;0.5;1000;61.7086193201092;58.08635822895368
100;1;1;0.5;2000;62.29893396082287;58.51458079437166
101;1;1;0.5;2000;62.79085282013539;58.871442944521014
102;1;1;0.5;2000;63.20690584057867;59.173096714140755
103;1;1;0.5;2000;63.56371533008395;59.43173676968517
104;1;1;0.5;2000;63.15975418271072;59.13805627642536
105;1;1;0.5;2000;62.806264189692946;58.88106778705503
106;1;1;0.5;2000;63.12363335548845;59.11138049133785
107;1;1;0.5;2000;63.405516993658495;59.31597880364945
108;1;1;0.5;2000;63.09486331722237;59.09021766690064
109;1;1;0.5;2000;62.81535326754348;58.887019566194056
110;1;1;0.5;5000;62.562973708263804;58.703404113505115
111;1;1;0.5;5000;62.33353084217512;58.536480842068926
112;1;1;0.5;5000;62.12404881912662;58.384056692417666
113;1;1;0.5;5000;62.3820759750883;58.57108161570869
114;1;1;0.5;5000;62.18740941745686;58.42947493789773
115;1;1;0.5;5000;62.0077117580189;58.298763851337256
116;1;1;0.5;5000;62.2413894361801;58.46818930223054
117;1;1;0.5;5000;62.07260404392697;58.34543207457417
118;1;1;0.5;5000;62.28790964653919;58.50155310308447
119;1;1;0.5;5000;62.48885822362323;58.64731662160646
120;1;3;0.0001;1000;52.82298454509835;53.16342359428625
121;1;3;0.0001;1000;52.24488261293967;52.16492456322845
122;1;3;0.0001;1000;52.176301244122946;51.900710686079634
123;1;3;0.0001;1000;52.24769190737001;51.78359205932303
124;1;3;0.0001;1000;52.16771225190064;51.61134828670565
125;1;3;0.0001;1000;52.17200912484051;51.82231603099004
126;1;3;0.0001;1000;51.92305470854004;51.56639760967774
127;1;3;0.0001;1000;51.94049633850965;51.66472829062392
128;1;3;0.0001;1000;51.82187222037302;51.56272185144468
129;1;3;0.0001;1000;51.73214582637657;51.49829920464756
130;1;3;0.0001;2000;51.93871655012294;51.703070431303395
131;1;3;0.0001;2000;52.06249558718306;51.806691593477986
132;1;3;0.0001;2000;52.211297812203625;51.97607526486766
133;1;3;0.0001;2000;52.30787070292505;52.079637124403334
134;1;3;0.0001;2000;52.36202853204306;52.14316749205529
135;1;3;0.0001;2000;52.206942128495484;52.01470056725251
136;1;3;0.0001;2000;52.28875439116034;52.1050212101064
137;1;3;0.0001;2000;52.402530297769076;52.19671667561989
138;1;3;0.0001;2000;52.4577124040571;52.241387657876054
139;1;3;0.0001;2000;52.51725034579613;52.31229768117328
140;1;3;0.0001;5000;52.64279527790963;52.447996668341474
141;1;3;0.0001;5000;52.737443916977696;52.52956678552421
142;1;3;0.0001;5000;52.85603223926089;52.63775616925631
143;1;3;0.0001;5000;52.93685102254664;52.71234722952472
144;1;3;0.0001;5000;52.998598720250136;52.76732373850903
145;1;3;0.0001;5000;53.082590562124544;52.844838165755235
146;1;3;0.0001;5000;53.1511771470027;52.910929829123376
147;1;3;0.0001;5000;53.222092446470874;52.97711314714278
148;1;3;0.0001;5000;53.26732691077489;53.02734394595074
149;1;3;0.0001;5000;53.31935489631803;53.08116540953403
150;1;3;0.005;1000;55.690366390796044;55.291535051077304
151;1;3;0.005;1000;55.706570792022774;55.28205644887401
152;1;3;0.005;1000;55.905733114042185;55.47946048695112
153;1;3;0.005;1000;55.85497704906567;55.42838253255748
154;1;3;0.005;1000;55.82335589876051;55.3947483186894
155;1;3;0.005;1000;55.80190045045513;55.375585353598844
156;1;3;0.005;1000;56.20454684556112;55.73251906519961
157;1;3;0.005;1000;56.14394908421297;55.67353826177715
158;1;3;0.005;1000;56.09456862577312;55.63024985412786
159;1;3;0.005;1000;56.05796230808793;55.5988586489511
160;1;3;0.005;2000;56.02516735406171;55.569980554772634
161;1;3;0.005;2000;56.851478569196;56.292349837449414
162;1;3;0.005;2000;57.5111971967937;56.8466518050244
163;1;3;0.005;2000;57.382975951692;56.73666305722751
164;1;3;0.005;2000;58.33820856234499;57.5622330747009
165;1;3;0.005;2000;59.18003737105549;58.29074702926221
166;1;3;0.005;2000;59.0395619275175;58.16438817479426
167;1;3;0.005;2000;59.10373300021048;58.22714736421892
168;1;3;0.005;2000;58.92486583147514;58.071485299651066
169;1;3;0.005;2000;58.76324616190535;57.931547064757765
170;1;3;0.005;5000;58.77726585404978;57.94583648865628
171;1;3;0.005;5000;59.51803451366716;58.600793927946704
172;1;3;0.005;5000;60.206799547105724;59.19636519535726
173;1;3;0.005;5000;60.673288060417974;59.60337592687006
174;1;3;0.005;5000;61.20704979073391;60.07198922734537
175;1;3;0.005;5000;61.77353470366922;60.56836987489433
176;1;3;0.005;5000;62.25978804821444;61.00014745927207
177;1;3;0.005;5000;62.73174694449314;61.413170854941505
178;1;3;0.005;5000;63.22224165794974;61.8567259982828
179;1;3;0.005;5000;63.67131032311176;62.26683153427203
180;1;3;0.05;1000;79.2833251199038;77.2310837696022
181;1;3;0.05;1000;79.66332520683355;77.74046994587655
182;1;3;0.05;1000;79.86185362058723;77.99104316741142
183;1;3;0.05;1000;79.42309349603121;77.5298294435602
184;1;3;0.05;1000;79.27324668672681;77.33398563608235
185;1;3;0.05;1000;79.21918317211251;77.24860237729771
186;1;3;0.05;1000;79.22569959738044;77.27071681410158
187;1;3;0.05;1000;79.10439022499978;77.10246916570486
188;1;3;0.05;1000;79.04656257268678;77.02701598183491
189;1;3;0.05;1000;78.81814667769255;76.77028588641151
190;1;3;0.05;2000;78.89265599718588;76.85183870851982
191;1;3;0.05;2000;79.60005356713567;77.684601495535
192;1;3;0.05;2000;79.8567303056225;78.0061210691605
193;1;3;0.05;2000;80.10893930584879;78.31087979094309
194;1;3;0.05;2000;80.49960784672093;78.77678507865708
195;1;3;0.05;2000;81.00883232899528;79.35532368418629
196;1;3;0.05;2000;81.40867294683767;79.82308609325018
197;1;3;0.05;2000;81.8123824105993;80.29100555627869
198;1;3;0.05;2000;82.17489202806748;80.71058269913746
199;1;3;0.05;2000;82.25418817535079;80.81239803850818
200;1;3;0.05;5000;82.82506983867388;81.43299950526765
201;1;3;0.05;5000;83.34051796555262;81.99243200563654
202;1;3;0.05;5000;83.79740514855521;82.4922459386336
203;1;3;0.05;5000;84.2207424090826;82.9532250182305
204;1;3;0.05;5000;84.62297398963578;83.38839686272378
205;1;3;0.05;5000;84.97908518713749;83.7777495352752
206;1;3;0.05;5000;85.29539073988063;84.12581598084255
207;1;3;0.05;5000;85.60813900674479;84.46551498766723
208;1;3;0.05;5000;85.90475857637512;84.78792458762484
